id	de	en	hu	
galleries_general_plural_form		Galleries Online	Galériák online	
welcome_to_museum_message		Welcome to the Museum of Applied Arts!	Üdvözlünk az Iparművészeti Múzeumban!	
galleries_tutorial_info		Visit online featured artworks of our galleries.	Ismerd meg gyűjteményeink kiemelt műtárgyait!	
exhibitions_tutorial_info		Explore our permanent and temporary exhibitions.	Fedezd fel állandó és időszaki kiállításainkat!	
guided_tours_tutorial_info		Interactive tours in our museum building and exhibitions.	Interaktív vezetések a múzeum épületében és a kiállításokban.	
museum_url		http://www.imm.hu/en/	http://www.imm.hu	
